batch_id,step_hour,temperature,ph,dissolved_oxygen,turbidity,co2_concentration,light_intensity,water_level,previous_biomass,target_biomass
ZENODO-BATCH-01,0,25.72,8.39,6.74,20.05,505.5,770.2,0.339,0.444,0.464
ZENODO-BATCH-01,1,21.97,8.68,6.86,20.1,391.4,867.0,0.335,0.464,0.436
ZENODO-BATCH-01,2,26.93,8.52,7.3,19.79,477.7,1180.7,0.34,0.436,0.496
ZENODO-BATCH-01,3,29.23,7.96,6.77,22.22,452.7,536.1,0.35,0.496,0.557
ZENODO-BATCH-01,4,25.34,8.74,7.37,21.23,513.7,1220.1,0.368,0.557,0.56
ZENODO-BATCH-01,5,30.43,8.01,6.3,26.07,420.4,477.6,0.353,0.56,0.627
ZENODO-BATCH-01,6,30.74,8.59,5.99,25.26,431.9,682.7,0.372,0.627,0.673
ZENODO-BATCH-01,7,31.45,7.85,6.37,29.72,473.3,870.3,0.348,0.673,0.739
ZENODO-BATCH-01,8,32.24,8.4,6.88,24.0,418.6,1327.0,0.349,0.739,0.81
ZENODO-BATCH-01,9,30.76,8.26,6.57,29.18,392.7,623.8,0.365,0.81,0.878
ZENODO-BATCH-01,10,29.75,8.77,8.3,30.39,474.2,766.3,0.354,0.878,0.948
ZENODO-BATCH-01,11,27.86,8.08,5.08,31.67,446.9,949.3,0.357,0.948,1.045
ZENODO-BATCH-01,12,29.63,8.18,6.45,34.93,369.0,758.7,0.378,1.045,1.123
ZENODO-BATCH-01,13,25.82,7.8,6.67,38.14,440.5,738.4,0.35,1.123,1.173
ZENODO-BATCH-01,14,27.06,8.06,7.81,35.48,459.7,781.2,0.327,1.173,1.28
ZENODO-BATCH-01,15,26.5,8.87,6.5,38.68,522.7,972.9,0.352,1.28,1.342
ZENODO-BATCH-01,16,32.77,8.64,7.72,43.13,443.6,721.6,0.326,1.342,1.372
ZENODO-BATCH-01,17,30.05,8.18,6.91,45.32,420.2,650.1,0.361,1.372,1.49
ZENODO-BATCH-01,18,31.91,9.39,6.05,48.68,450.7,661.6,0.374,1.49,1.258
ZENODO-BATCH-01,19,30.04,8.8,7.34,42.82,498.1,760.7,0.326,1.258,1.345
ZENODO-BATCH-01,20,30.34,7.82,7.82,42.86,409.1,584.8,0.375,1.345,1.441
ZENODO-BATCH-01,21,26.33,8.32,7.9,47.33,425.3,473.4,0.345,1.441,1.523
ZENODO-BATCH-01,22,35.34,8.29,6.43,45.63,458.4,466.8,0.37,1.523,1.293
ZENODO-BATCH-01,23,28.19,8.58,8.04,37.67,495.0,638.6,0.343,1.293,1.377
ZENODO-BATCH-01,24,30.28,8.29,7.38,45.47,539.3,833.4,0.334,1.377,1.498
ZENODO-BATCH-01,25,30.68,8.73,7.92,45.87,522.2,547.4,0.338,1.498,1.569
ZENODO-BATCH-01,26,28.56,8.64,8.26,47.21,460.3,978.7,0.37,1.569,1.67
ZENODO-BATCH-01,27,25.62,7.57,7.17,43.37,421.5,749.7,0.339,1.67,1.714
ZENODO-BATCH-01,28,27.46,8.29,8.45,51.36,444.9,559.2,0.353,1.714,1.796
ZENODO-BATCH-01,29,34.47,9.08,7.21,54.66,497.3,965.4,0.359,1.796,1.52
ZENODO-BATCH-01,30,27.39,7.5,6.93,46.39,534.8,581.1,0.344,1.52,1.546
ZENODO-BATCH-01,31,30.86,8.82,6.14,43.82,534.3,787.9,0.387,1.546,1.588
ZENODO-BATCH-01,32,27.91,9.09,6.16,40.95,418.0,716.5,0.348,1.588,1.602
ZENODO-BATCH-01,33,32.36,8.85,7.25,48.46,439.0,696.9,0.397,1.602,1.652
ZENODO-BATCH-01,34,27.99,8.28,5.68,46.5,465.7,836.5,0.376,1.652,1.806
ZENODO-BATCH-01,35,30.22,8.28,6.81,54.39,455.1,799.1,0.354,1.806,1.915
ZENODO-BATCH-01,36,26.94,8.09,7.49,52.24,525.4,891.4,0.362,1.915,2.032
ZENODO-BATCH-01,37,29.88,7.93,6.66,61.36,405.1,398.2,0.373,2.032,2.105
ZENODO-BATCH-01,38,27.48,8.37,6.78,57.59,501.9,722.2,0.369,2.105,2.216
ZENODO-BATCH-01,39,27.82,7.97,5.77,64.37,507.9,1064.2,0.341,2.216,2.301
ZENODO-BATCH-01,40,30.43,8.55,5.53,61.69,459.6,594.2,0.385,2.301,2.385
ZENODO-BATCH-01,41,30.03,8.86,7.65,67.93,469.2,642.0,0.367,2.385,2.422
ZENODO-BATCH-01,42,26.84,8.86,6.96,63.24,530.7,353.3,0.35,2.422,2.451
ZENODO-BATCH-01,43,31.68,8.6,6.04,64.89,464.0,808.7,0.333,2.451,2.509
ZENODO-BATCH-01,44,28.67,8.69,9.02,65.9,462.4,805.3,0.358,2.509,2.596
ZENODO-BATCH-01,45,31.5,9.07,6.04,68.64,503.9,700.0,0.366,2.596,2.593
ZENODO-BATCH-01,46,31.08,7.44,7.66,71.27,476.3,375.7,0.369,2.593,2.636
ZENODO-BATCH-01,47,30.25,8.19,7.44,71.01,447.3,706.7,0.328,2.636,2.701
ZENODO-BATCH-01,48,29.19,8.38,7.11,72.2,419.4,278.6,0.349,2.701,2.749
ZENODO-BATCH-01,49,32.29,8.39,6.11,75.66,388.0,663.7,0.361,2.749,2.804
ZENODO-BATCH-01,50,26.43,8.11,7.29,74.2,552.1,763.6,0.381,2.804,2.862
ZENODO-BATCH-01,51,31.07,8.32,8.39,73.66,447.9,536.3,0.368,2.862,2.891
ZENODO-BATCH-01,52,24.17,8.9,7.36,74.14,453.8,879.5,0.307,2.891,2.918
ZENODO-BATCH-01,53,30.95,8.4,6.97,76.18,495.8,717.4,0.317,2.918,2.956
ZENODO-BATCH-01,54,31.31,7.6,6.32,79.27,456.6,697.9,0.36,2.956,2.967
ZENODO-BATCH-01,55,33.64,8.11,6.55,72.97,438.6,639.6,0.339,2.967,2.52
ZENODO-BATCH-01,56,28.64,7.22,7.61,69.99,461.9,701.6,0.374,2.52,2.529
ZENODO-BATCH-01,57,26.66,8.51,9.1,65.76,404.7,621.5,0.344,2.529,2.547
ZENODO-BATCH-01,58,30.63,7.81,6.42,72.61,503.6,725.2,0.352,2.547,2.568
ZENODO-BATCH-01,59,26.47,7.84,6.35,66.18,457.8,686.4,0.337,2.568,2.61
ZENODO-BATCH-01,60,29.05,8.66,6.5,76.54,489.4,910.0,0.35,2.61,2.683
ZENODO-BATCH-01,61,27.4,8.96,8.32,65.28,429.9,650.1,0.324,2.683,2.72
ZENODO-BATCH-01,62,28.57,8.31,6.83,70.69,449.3,654.9,0.337,2.72,2.774
ZENODO-BATCH-01,63,26.43,8.0,7.51,73.74,490.8,269.5,0.348,2.774,2.806
ZENODO-BATCH-01,64,26.69,8.01,8.83,76.53,469.3,815.1,0.382,2.806,2.835
ZENODO-BATCH-01,65,27.09,7.8,6.83,69.8,336.7,770.4,0.344,2.835,2.878
ZENODO-BATCH-01,66,25.65,8.37,7.08,73.51,387.5,1221.1,0.342,2.878,2.916
ZENODO-BATCH-01,67,31.27,8.6,5.78,76.66,569.5,589.8,0.329,2.916,2.942
ZENODO-BATCH-01,68,29.72,8.96,6.72,75.77,465.1,698.4,0.362,2.942,2.952
ZENODO-BATCH-01,69,29.86,8.72,6.98,76.19,476.2,322.5,0.369,2.952,2.989
ZENODO-BATCH-01,70,26.81,7.25,5.94,77.04,422.0,909.3,0.35,2.989,3.007
ZENODO-BATCH-01,71,30.73,8.29,7.33,75.53,472.9,560.7,0.361,3.007,3.024
ZENODO-BATCH-01,72,29.77,8.81,6.81,75.25,463.7,893.9,0.358,3.024,3.027
ZENODO-BATCH-01,73,32.27,8.43,8.23,77.31,497.3,657.4,0.341,3.027,3.033
ZENODO-BATCH-01,74,30.91,8.69,5.89,75.55,505.4,969.5,0.356,3.033,3.041
ZENODO-BATCH-01,75,28.93,8.63,7.34,78.29,355.4,559.6,0.403,3.041,3.057
ZENODO-BATCH-01,76,32.96,8.52,7.4,75.23,479.9,759.0,0.327,3.057,3.094
ZENODO-BATCH-01,77,28.96,8.3,9.23,78.3,495.1,703.8,0.36,3.094,3.108
ZENODO-BATCH-01,78,31.18,7.99,7.02,84.19,355.6,873.4,0.363,3.108,3.106
ZENODO-BATCH-01,79,24.74,8.13,7.19,82.75,453.3,517.4,0.324,3.106,3.109
ZENODO-BATCH-01,80,31.2,7.42,6.56,80.4,483.3,536.9,0.347,3.109,3.115
ZENODO-BATCH-01,81,26.81,8.32,7.11,88.24,490.3,579.1,0.353,3.115,3.108
ZENODO-BATCH-01,82,31.97,7.05,6.26,81.25,404.2,345.9,0.354,3.108,3.105
ZENODO-BATCH-01,83,28.13,8.49,6.91,81.77,400.3,870.0,0.349,3.105,3.106
ZENODO-BATCH-01,84,28.28,8.26,7.28,81.83,427.2,593.2,0.347,3.106,3.103
ZENODO-BATCH-01,85,27.62,8.15,7.39,85.21,417.7,866.5,0.355,3.103,3.102
ZENODO-BATCH-01,86,26.86,7.83,6.21,84.19,539.4,419.4,0.334,3.102,3.084
ZENODO-BATCH-01,87,30.39,7.61,5.8,82.76,362.4,944.4,0.339,3.084,3.093
ZENODO-BATCH-01,88,27.66,8.86,6.7,76.18,490.3,1107.9,0.342,3.093,3.103
ZENODO-BATCH-01,89,24.43,8.5,6.82,85.13,492.3,1081.0,0.361,3.103,3.132
ZENODO-BATCH-01,90,25.99,8.48,7.51,79.86,496.3,691.5,0.303,3.132,3.141
ZENODO-BATCH-01,91,24.91,8.51,8.27,82.82,424.1,445.7,0.332,3.141,3.118
ZENODO-BATCH-01,92,33.7,8.11,7.69,80.58,468.1,737.2,0.32,3.118,2.644
ZENODO-BATCH-01,93,24.28,8.69,7.34,76.09,470.9,656.6,0.343,2.644,2.659
