SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557000,72.58332900,02-01-2020 08:30,"","","","","",22
2,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557000,72.58332900,07-02-2020 08:30,Other,"","",Other,"",""
3,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557000,72.58332900,04-03-2020 08:30,Other,"","",Other,"",""
4,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557000,72.58332900,04-04-2020 08:30,Other,"","",Other,"",""
5,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557000,72.58332900,01-05-2020 08:30,"","","","","",""
6,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557000,72.58332900,02-06-2020 08:30,Other,"","",Other,"",""
7,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557000,72.58332900,05-08-2020 08:30,Other,"","",Other,"",""
8,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557000,72.58332900,02-09-2020 08:30,Other,"","",Other,"",""
9,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557000,72.58332900,05-10-2020 08:30,Other,"","",Other,"",""
10,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557000,72.58332900,03-11-2020 08:30,Other,"","",Other,"",""
11,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557000,72.58332900,02-12-2020 08:30,Other,"","",Other,"",""
12,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99086100,72.53307700,02-01-2020 08:30,"","","","","",40
13,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99086100,72.53307700,07-02-2020 08:30,Other,"","",Other,"",""
14,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99086100,72.53307700,04-03-2020 08:30,Other,"","",Other,"",""
15,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99086100,72.53307700,04-04-2020 08:30,Other,"","",Other,"",""
16,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99086100,72.53307700,01-05-2020 08:30,"","","","","",""
